OBJECTID,shape_id,OBJECTID_1,route_id,trip_id,shape_id_1,OBJECTID_12,route_id_1,route_short_name,route_long_name,route_type,route_color,Shape__Length
1336,109449,,7732,6670961,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1337,109450,,11842,6666604,,,,899,Old Fourth Ward,3,819FF7,0.0668682472879881
1338,109451,,7657,6664615,,,,37,Defoors Ferry Road,3,819FF7,0.106445181269673
1339,109452,,7709,6676506,,,,141,Haynes Bridge Road / Milton,3,819FF7,0.270870878222364
1340,109453,,7726,6632700,,,,191,Riverdale / ATL Intl Terminal,3,819FF7,0.381199325063894
1341,109454,,7640,6661610,,,,8,North Druid Hills Road,3,819FF7,0.194629961157461
1342,109455,,7672,6637797,,,,71,Cascade  Road,3,819FF7,0.133643703715651
1343,109456,,7679,6684679,,,,82,Camp Creek / South Fulton Parkway,3,819FF7,0.0838774161051975
1344,109457,,7699,6661846,,,,117,Rockbridge Road / Panola Road,3,819FF7,0.292149789773481
1345,109459,,7740,6651161,,,,295,Metropolitan Campus Express,3,819FF7,0.0567923355563742
1346,109460,,7670,6666601,,,,867,Peyton Forest / Dixie Hills,3,819FF7,0.110218848124841
1347,109461,,7655,6648523,,,,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,3,819FF7,0.123643120628264
1348,109462,,7702,6632597,,,,121,Memorial Drive / N Hairston Road,3,819FF7,0.144885793635386
1349,109463,,7644,6688405,,,,15,Candler Road,3,819FF7,0.198489821503815
1350,109464,,7653,6660339,,,,32,Bouldercrest,3,819FF7,0.198165623942411
1351,109465,,7672,6649110,,,,71,Cascade  Road,3,819FF7,0.136357250313164
1352,109466,,7713,6649808,,,,153,James Jackson Parkway,3,819FF7,0.0783719920105432
1353,109467,,7722,6676798,,,,183,Barge Road P&R / Lakewood,3,819FF7,0.212677543494939
1354,109468,,7644,6664573,,,,15,Candler Road,3,819FF7,0.139559762085108
1355,109469,,7644,6683870,,,,15,Candler Road,3,819FF7,0.18130140332469
1356,109470,,7690,6661022,,,,103,Peeler Road / N Shallowford Road,3,819FF7,0.137533453017081
1357,109471,,11845,6674890,,,,133,Shallowford Road,3,819FF7,0.0963662762074082
1358,109472,,7710,6689655,,,,143,Windward Park & Ride,3,819FF7,0.191495477668226
1359,109473,,7724,6676805,,,,186,Rainbow Drive / South DeKalb,3,819FF7,0.231112774490581
1360,109474,,7725,6671696,,,,189,Flat Shoals Road / Scofield Road,3,819FF7,0.171681247542429
1361,109475,,7728,6681995,,,,193,Morrow / Jonesboro,3,819FF7,0.31189523782993
1362,109476,,7650,6688415,,,,26,Marietta Street / Perry Boulevard,3,819FF7,0.146940621782733
1363,109477,,7735,6683468,,,,94,Northside Drive,3,819FF7,0.0877707937344371
1364,109479,,7724,6689403,,,,186,Rainbow Drive / South DeKalb,3,819FF7,0.22021204167811
1365,109480,,7730,6643606,,,,195,Forest Parkway,3,819FF7,0.274236003236057
1366,109481,,7733,6677839,,,,221,Memorial Drive Limited,3,819FF7,0.0896236807517302
1367,109482,,7699,6643242,,,,117,Rockbridge Road / Panola Road,3,819FF7,0.235130395958441
1368,109483,,7704,6673425,,,,124,Pleasantdale Road,3,819FF7,0.128072433887802
1369,109484,,7706,6688745,,,,126,Chamblee-Tucker Road,3,819FF7,0.126986888597119
1370,109485,,7639,6693148,,,,6,Clifton Road / Emory,3,819FF7,0.0730969899913078
1371,109486,,7640,6688075,,,,8,North Druid Hills Road,3,819FF7,0.186800221922613
1372,109487,,7649,6644803,,,,25,Peachtree Industrial Boulevard,3,819FF7,0.104776153118911
1373,109488,,7679,6680962,,,,82,Camp Creek / South Fulton Parkway,3,819FF7,0.257965166742906
1374,109489,,7642,6683945,,,,12,Howell Mill Road / Cumberland,3,819FF7,0.146955589978621
1375,109490,,7692,6649455,,,,107,Glenwood,3,819FF7,0.240186321212601
1376,109491,,7659,6664644,,,,42,Pryor Road,3,819FF7,0.142756251041983
1377,109492,,7661,6672858,,,,49,McDonough Boulevard,3,819FF7,0.126524734541333
1378,109493,,7662,6685053,,,,50,Donald Lee Hollowell Parkway,3,819FF7,0.139256113448747
