Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
309597,BRITO SUPERMARKET 2,Supermarket,3020,Buford Hwy NE, ,Atlanta,GA,30329,1804,DEKALB,33.83638,-84.33702,8/17/2009,8/3/2013
1163793,Brito Supermarket  ,Combination Grocery/Other,3020,Buford Hwy NE, ,Atlanta,GA,30329,1804,DEKALB,33.83637,-84.33702,9/5/2014, 
1163906,Brito Supermarket  ,Medium Grocery Store,3322,Chamblee Tucker Rd, ,Atlanta,GA,30341,4353,DEKALB,33.88474,-84.25677,10/1/2014,2/25/2018
1115115,Broadway Chevron  ,Convenience Store,1860,Memorial Drive, ,Atlanta,GA,30317, ,DEKALB,33.74743,-84.32666,10/1/2013, 
1485511,Buchanan's Food Store  ,Convenience Store,5382,Peachtree Rd,,Atlanta,GA,30341,2421,DEKALB,33.89193,-84.30128,1/28/2022, 
1432912,Buddy's Food Store ,Convenience Store,3409,Chamblee Tucker Rd,,Atlanta,GA,30341,4350,DEKALB,33.88526,-84.25337,1/20/2021, 
914075,Buddys Food Mart  ,Convenience Store,1181,McPherson Ave SE, ,Atlanta,GA,30316,1921,DEKALB,33.7432,-84.34885,10/14/2009,9/3/2018
966156,Bueno Food Mart  ,Convenience Store,4775,Buford Hwy,Ste 103,Atlanta,GA,30341,3722,DEKALB,33.88081,-84.29092,8/30/2010,2/9/2012
1016884,Bufford Shell  ,Convenience Store,3799,Buford Hwy NE, ,Atlanta,GA,30329,1001,DEKALB,33.85518,-84.31505,9/24/2012,11/16/2021
486598,Buford Highway Farmers Market  ,Super Store,5600,Buford Hwy NE,,Atlanta,GA,30340,1240,DEKALB,33.9056,-84.27371,1/25/1996, 
1158103,Buford Hwy Bp  ,Convenience Store,5625,Buford Hwy NE, ,Atlanta,GA,30340,1205,DEKALB,33.90513,-84.27125,8/27/2014,11/23/2018
1085203,Buford Mini Mart  ,Combination Grocery/Other,3754,Buford Hwy NE,Ste A3,Atlanta,GA,30329,1070,DEKALB,33.85439,-84.31601,2/4/2013,5/5/2015
1021449,Buford Texaco  ,Convenience Store,3107,Buford Hwy NE, ,Atlanta,GA,30329,1701,DEKALB,33.83819,-84.33418,9/16/2011,3/12/2014
1071902,Cake Cafe  ,Bakery Specialty,368,Candler Rd SE, ,Atlanta,GA,30317,3471,DEKALB,33.74218,-84.2897,11/20/2012,9/26/2016
908006,CANDLER ROAD EXXON  ,Convenience Store,202,Candler Rd SE, ,Atlanta,GA,30317,3436,DEKALB,33.74759,-84.29215,11/2/2009,7/27/2021
939982,Caritas Felices  ,Small Grocery Store,5938,Buford Hwy NE, ,Atlanta,GA,30340,1332,DEKALB,33.91262,-84.26337,3/17/2010,7/13/2010
733223,CARNICERIA DURANGO  ,Convenience Store,4005,BUFORD HWY,SUITE F & G,Atlanta,GA,30345, ,DEKALB,33.86005,-84.30956,11/16/2004,4/3/2008
